epoch,accuracy,loss,val_accuracy,val_loss
0,0.9276833534240723,0.25464263558387756,0.9527000188827515,0.1515832096338272
1,0.9663500189781189,0.11305326223373413,0.9696000218391418,0.09849796444177628
2,0.9759666919708252,0.07812996208667755,0.9721999764442444,0.08969626575708389
3,0.9821833372116089,0.0578271746635437,0.9753999710083008,0.0805041715502739
4,0.9860333204269409,0.04552476480603218,0.9768999814987183,0.07377747446298599
0,0.9250333309173584,0.2629197835922241,0.9587000012397766,0.14240649342536926
1,0.9646333456039429,0.11847326904535294,0.9708999991416931,0.09215246886014938
2,0.9756666421890259,0.08059009909629822,0.9708999991416931,0.09422511607408524
3,0.9817666411399841,0.06015295907855034,0.9768999814987183,0.07522919028997421
4,0.9851666688919067,0.046555157750844955,0.9763000011444092,0.07206366956233978
5,0.9884666800498962,0.03669566661119461,0.9758999943733215,0.07657496631145477
6,0.9910666942596436,0.029482632875442505,0.9794999957084656,0.06570135802030563
7,0.9926833510398865,0.023807277902960777,0.9772999882698059,0.07882910221815109
8,0.9940000176429749,0.020064976066350937,0.9800999760627747,0.073245108127594
9,0.9946833252906799,0.016976894810795784,0.9796000123023987,0.07221856713294983
